96,I306230,off Tues - Thurs,23,2014
97,I306230,CRM overview ( Rakshit ),24,2014
98,I306230,Holidays 4 days,25,2014
99,I306230,CRM Base Customising,26,2014
100,I306230,CRM CQC assignment ,27,2014
101,I306230,CRM CQC assignment ,28,2014
102,I306230,CRM One Order Documents : A Glance,29,2014
103,I306230,CRM CQC assignment,30,2014
104,I306230,Last week * applied for a permanent position,31,2014
105,I306163,Induction,6,2014
106,I306163,EarlyWatch-SAPTECH,7,2014
107,I306163,EarlyWatch-UADM315,8,2014
108,I306163,Coached Session,9,2014
109,I306163,Coached Session + networking event,10,2014
110,I306163,Revision and Exams ,11,2014
111,I306163,BC400 Fundamentals ( Krishanthi ),12,2014
112,I306163,Oracle workshops ( Dani ),13,2014
113,I306163,ABAP Silver Cert -  (Fri 28th March 9-13.30 Welcome 101 lite),14,2014
114,I306163,BPPO Training,15,2014
115,I306163,BPPO Training,16,2014
116,I306163,EGI Project Plannning. Need to get update from Brendan Conroy on following weeks,17,2014
117,I306163,Syclo Mobile Overview (Sheila) Customer (Infrabel) mobile platform presentation research topics assigned (in pairs),18,2014
118,I306163,Customer (Infrabel) mobile platform presentation research topics assigned and to be presented by Fri 9th May (Sheila  James A.),19,2014
119,I306163,Attend Afaria EGI (US 4-6pm ) Attend Mobile Development EGI (Registration Required - delivered by Amabille - tbc),20,2014
120,I306163,Infrabel (James) & Severstal (Sheila) Service Wrap-ups / Syclo Service Manager Internal Install/Config Workshop (James A.),21,2014
121,I306163,HANA Training - classroom,22,2014
122,I306163,Hana revision KPMG Escalation Experiences / Fiori Extensibility Workshop/Exercise (Brenda  Michael Z.),23,2014
123,I306163,Rapid Prototyping  Rapid Deployment Solutions for Mobile/UX (Johnny),24,2014
124,I306163,Fiori/UI5 Workshop,25,2014
125,I306163,Introduction to hybris (Sheila)  Installation & Configuration,26,2014
126,I306835,Induction Week ,15,2014
127,I306835,EarlyWatch-SAPTECH - Good Fri,16,2014
128,I306835,Easter Monday EarlyWatch-UADM315,17,2014
129,I306835,Coached Session,18,2014
130,I306835,May Day Coached Session,19,2014
131,I306835,Revision and Exams,20,2014
132,I306835,Oracle workshops,21,2014
133,I306835,ABAP Fundamentals,22,2014
134,I306835,ABAP Silver Cert,23,2014
135,I306835,BPPO Training,24,2014
136,I306835,BPPO Coached Delivery,25,2014
137,I306835,BPPO Coached Delivery,26,2014
138,I306835,BPPO Coached Delivery,27,2014
139,I306835,BPPO Coached Delivery,28,2014
140,I306835,BPPO Coached Delivery,29,2014
141,I306835,BPPO Coached Delivery,30,2014
142,I306835,HANA,31,2014
143,I306835,HANA Revision & Exams,32,2014
144,I306835,EWM overview,33,2014
145,I306835,EWM Rampup,34,2014
146,I306835,EWM Rampup,35,2014
147,I306835,EWM Rampup,36,2014
148,I306835,EWM Rampup,37,2014
149,I306835,EWM Rampup Last Week * looking for a permanent role,38,2014
150,I306836,Induction Week ,15,2014
151,I306836,EarlyWatch-SAPTECH - Good Fri,16,2014
152,I306836,Easter Monday EarlyWatch-UADM315,17,2014
153,I306836,Coached Session,18,2014
154,I306836,May Day Coached Session,19,2014
155,I306836,Revision and Exams,20,2014
156,I306836,Oracle workshops,21,2014
157,I306836,ABAP Fundamentals,22,2014
158,I306836,ABAP Silver Cert,23,2014
159,I306836,BPPO Training,24,2014
160,I306836,Coached Delivery,25,2014
161,I306836,Coached Delivery,26,2014
162,I306836,Coached Delivery,27,2014
163,I306836,Coached Delivery,28,2014
164,I306836,Coached Delivery,29,2014
165,I306836,Coached Delivery,30,2014
166,I306836,BW training (Mark Byrne),31,2014
167,I306836,BW session delivery / Remote BW Novice (PE),32,2014
168,I306836,BW session delivery / Remote BW Novice (PE),33,2014
169,I306836,BW session delivery / Remote BW Novice (PE),34,2014
170,I306836,BW session delivery / Remote BW Novice (PE),35,2014
171,I306836,BW session delivery / Remote BW Novice (PE),36,2014
172,I306836,BW session delivery / Remote BW Novice (PE),37,2014
173,I306836,BW session delivery Last Week,38,2014
174,I306833,Induction Week ,15,2014
175,I306833,EarlyWatch-SAPTECH - Good Fri,16,2014
176,I306833,Easter Monday EarlyWatch-UADM315,17,2014
177,I306833,Coached Session,18,2014
178,I306833,May Day Coached Session,19,2014
179,I306833,Revision and Exams,20,2014
180,I306833,Oracle workshops,21,2014
181,I306833,ABAP Fundamentals,22,2014
182,I306833,ABAP Silver Cert,23,2014
183,I306833,BPPO Training,24,2014
184,I306833,Coached Delivery,25,2014
185,I306833,Coached Delivery,26,2014
186,I306833,Coached Delivery,27,2014
187,I306833,Coached Delivery,28,2014
188,I306833,Coached Delivery,29,2014
189,I306833,Coached Delivery,30,2014
190,I306833,BW training (Mark Byrne),31,2014
191,I306833,BW session delivery / Remote BW Novice (PE),32,2014
192,I306833,BW session delivery / Remote BW Novice (PE),33,2014
193,I306833,Holidays,34,2014
194,I306833,Holidays Mon -Thurs,35,2014
195,I306833,BW session delivery / Remote BW Novice (PE),36,2014
196,I306833,BW session delivery / Remote BW Novice (PE),37,2014
197,I306833,BW session delivery Last Week,38,2014
198,I306862,Induction Week ,15,2014
199,I306862,EarlyWatch-SAPTECH - Good Fri,16,2014
200,I306862,Easter Monday EarlyWatch-UADM315,17,2014
201,I306862,Coached Session,18,2014
202,I306862,May Day Coached Session,19,2014
203,I306862,Revision and Exams,20,2014
204,I306862,Oracle workshops,21,2014
205,I306862,ABAP Fundamentals,22,2014
206,I306862,ABAP Silver Cert,23,2014
207,I306862,TPO Training,24,2014
208,I306862,TPO Coached Delivery,25,2014
209,I306862,TPO Coached Delivery,26,2014
210,I306862,TPO Coached Delivery,27,2014
211,I306862,TPO Coached Delivery,28,2014
212,I306862,N/A,29,2014
213,I306862,N/A,30,2014
214,I306862,HANA,31,2014
215,I306862,HANA Revision & Exams,32,2014
216,I306862,Backoffice team 4 novice / Backoffice team 1 novice,33,2014
217,I306862,Backoffice team 4 novice / Backoffice team 1 novice ,34,2014
218,I306862,EW  GV  TPO  GLS - backoffice,35,2014
219,I306862,EW  GV TPO  GLS,36,2014
220,I306862,GV,37,2014
221,I306862,Last Week,38,2014
222,I306202,Induction,3,2014
223,I306202,EarlyWatch-SAPTECH,4,2014
224,I306202,EarlyWatch-UADM315,5,2014
225,I306202,Coached Session,6,2014
226,I306202,Coached Session + networking event,7,2014
227,I306202,Revision and Exams ,8,2014
228,I306202,BC400 Fundamentals ( Krishanthi ),9,2014
229,I306202,Oracle workshops ( Dani ),10,2014
230,I306202,ABAP Silver Cert,11,2014
231,I306202,ARSD,12,2014
232,I306202,ARSD (Fri 28th March 9-13.30 Welcome 101 lite),13,2014
233,I306202,ARSD,14,2014
234,I306202,ARSD,15,2014
235,I306202,ARSD,16,2014
236,I306202,ARSD,17,2014
237,I306202,ARSD,18,2014
238,I306202,ARSD / GLS shadowing,19,2014
239,I306202,ARSD - service delivery EW  GV  GLS,20,2014
240,I306202,GA Training,21,2014
241,I306202,HANA training,22,2014
242,I306202,HANA revision & Exam,23,2014
243,I306202,BPPO Training,24,2014
244,I306202,BPPO coached delivery,25,2014
245,I306202,Off Mon 23rd  BPPO Coached Delivery,26,2014
246,I306202,BPPO coached delivery,27,2014
247,I306202, Last Week,28,2014
248,I306126,Induction,3,2014
249,I306126,EarlyWatch-SAPTECH,4,2014
250,I306126,EarlyWatch-UADM315,5,2014
251,I306126,Coached Session,6,2014
252,I306126,Coached Session + networking event,7,2014
253,I306126,Revision and Exams ,8,2014
254,I306126,BC400 Fundamentals ( Krishanthi ),9,2014
255,I306126,Oracle workshops ( Dani ),10,2014
256,I306126,ABAP Silver Cert,11,2014
257,I306126,ARSD,12,2014
258,I306126,ARSD,13,2014
259,I306126,ARSD,14,2014
260,I306126,ARSD,15,2014
261,I306126,ARSD,16,2014
262,I306126,ARSD,17,2014
263,I306126,ARSD,18,2014
264,I306126,ARSD / GLS shadowing,19,2014
265,I306126,service delivery EW  GV  GLS,20,2014
266,I306126,GA Training,21,2014
267,I306126,HANA training,22,2014
268,I306126,Revision & Exam,23,2014
269,I306126,BPPO TRG,24,2014
270,I306126,BPPO Coached Delivery,25,2014
271,I306126,BPPO Coached Delivery,26,2014
272,I306126,BPPO Coached Delivery,27,2014
273,I306126,Last week - looking for a permanent position,28,2014
274,I306119,Induction,3,2014
275,I306119,EarlyWatch-SAPTECH,4,2014
276,I306119,EarlyWatch-UADM315,5,2014
277,I306119,Coached Session,6,2014
278,I306119,Coached Session + networking event,7,2014
279,I306119,Revision and Exams ,8,2014
280,I306119,BC400 Fundamentals ( Krishanthi ),9,2014
281,I306119,Oracle workshops ( Dani ),10,2014
282,I306119,ABAP Silver Cert,11,2014
283,I306119,Revision & rampup on ABAP / HANA,12,2014
284,I306119,Mini INNOJAM (Fri 28th March 9-13.30 Welcome 101 lite) Test Systems project,13,2014
285,I306119,Mini INNOJAM  Test Systems Project,14,2014
286,I306119,BPPO Training,15,2014
287,I306119,Test Systems Project,16,2014
