164,11,Revision and Exams ,8,2014
165,11,BC400 Fundamentals ( Krishanthi ),9,2014
166,11,Oracle workshops ( Dani ),10,2014
167,11,ABAP Silver Cert (Aaron),11,2014
168,11,ARSD,12,2014
169,11,ARSD  (Welcome 101 lite Fri 28th March 9-13.30),13,2014
170,11,ARD,14,2014
171,11,ARSD,15,2014
172,11,ARSD,16,2014
173,11,ARSD,17,2014
174,11,ARSD,18,2014
175,11,ARSD,19,2014
176,11,73263108 EWC Off 15 &16th,20,2014
177,11,NA,21,2014
178,11,Hana Training,22,2014
179,11,HANA Practical/Exam,23,2014
180,11,BPPO TRG,24,2014
181,11,NA,25,2014
182,11,off 23rd June INNOJAM 26th & 27th,26,2014
183,11,Coffee Corner thurs 3rd 11am,27,2014
184,11,Last week,28,2014
185,12,Induction Week,3,2014
186,12,EarlyWatch-SAPTECH,4,2014
187,12,EarlyWatch-UADM315,5,2014
188,12,Coached EW delivery ,6,2014
189,12,Coached EW delivery ,7,2014
190,12,Revision and Exams ,8,2014
191,12,BC400 Fundamentals ( Krishanthi ),9,2014
192,12,Oracle workshops ( Dani ),10,2014
193,12,ABAP Silver Cert (Aaron),11,2014
194,12,ARSD (off tues 18th ),12,2014
195,12,ADM resit Mon 24th ARSD  (Welcome 101 lite Fri 28th March 9-13.30),13,2014
196,12,ARSD sick thurs 3rd,14,2014
197,12,ARSD,15,2014
198,12,ARSD,16,2014
199,12,ARSD,17,2014
200,12,ARSD,18,2014
201,12,ARSD,19,2014
202,12,ERP EW 73257969 and 73258262 Off Mon 12th,20,2014
203,12,NA,21,2014
204,12,Hana Training,22,2014
205,12,HANA Practical/Exam,23,2014
206,12,BPPO TRG,24,2014
207,12,NA,25,2014
208,12,INNOJAM 26th & 27th,26,2014
209,12,Coffee Corner thurs 3rd 11am,27,2014
210,12,Last week,28,2014
211,13,Induction Week,3,2014
212,13,EarlyWatch-SAPTECH,4,2014
213,13,EarlyWatch-UADM315,5,2014
214,13,Coached EW delivery ,6,2014
215,13,Coached EW delivery ,7,2014
216,13,Revision and Exams ,8,2014
217,13,BC400 Fundamentals ( Krishanthi ),9,2014
218,13,Oracle workshops ( Dani ),10,2014
219,13,ABAP Silver Cert (Aaron),11,2014
220,13,Dev ramp up & silver cert exam Thurs 20th,12,2014
221,13,Innojam  (Welcome 101 lite Fri 28th March 9-13.30),13,2014
222,13,Innojam,14,2014
223,13,BPPO training,15,2014
224,13,Open SAP Mobile app dev / Continue Project Volunteering  day thurs 17th,16,2014
225,13,MCC Processes & Assign Mobile DR Customer 360 Reviews ,17,2014
226,13,Continue Project,18,2014
227,13,Continue Project,19,2014
228,13,Attend Mobile Development EGI (Registration Required - delivered by Amabille,20,2014
229,13,Off all week,21,2014
230,13,Hana Training,22,2014
231,13,HANA Practical/Exam,23,2014
232,13,RP & RDS for Mob/UX,24,2014
233,13,NA,25,2014
234,13,INNOJAM 26th & 27th,26,2014
235,13,Coffee Corner thurs 3rd 11am,27,2014
236,13,Last week,28,2014
237,14,Induction Week,3,2014
238,14,EarlyWatch-SAPTECH,4,2014
239,14,EarlyWatch-UADM315,5,2014
240,14,Coached EW delivery ,6,2014
241,14,Coached EW delivery ,7,2014
242,14,Revision and Exams ,8,2014
243,14,BC400 Fundamentals ( Krishanthi ),9,2014
244,14,Oracle workshops ( Dani ),10,2014
245,14,ABAP Silver Cert (Aaron),11,2014
246,14,Dev ramp up & silver cert exam Thurs 20th,12,2014
247,14,ABAP Fundamentals ( Wed 2hrs networking ) Off fri 28th,13,2014
248,14,Off Mon 31st Innojam,14,2014
249,14,BPPO training,15,2014
250,14,Utilization tool project Volunteering day Tues 15th,16,2014
251,14,Utilization tool project,17,2014
252,14,Continue Project,18,2014
253,14,Continue Project,19,2014
254,14,Utilization tool project off 12th May,20,2014
255,14,Continue Project,21,2014
256,14,Hana Training,22,2014
257,14,HANA Practical/Exam,23,2014
258,14,DR_HANA_EMEA,24,2014
259,14,NA,25,2014
260,14,INNOJAM 26th & 27th,26,2014
261,14,Coffee Corner thurs 3rd 11am - off fri (Last day ),27,2014
262,14,Off all week last week,28,2014
263,15,Induction Week,5,2014
264,15,EarlyWatch-SAPTECH,6,2014
265,15,EarlyWatch-UADM315,7,2014
266,15,Coached EW delivery ,8,2014
267,15,Coached EW delivery ,9,2014
268,15,Coached EW delivery ,10,2014
269,15,Revision and Exams ( SAPTEC Tues 11th and UADM315 Fri 14th @ 11 ),11,2014
270,15,St Patricks Oracle workshops,12,2014
271,15,ABAP Fundamentals ( Wed 2hrs networking ),13,2014
272,15,ABAP Silver Cert,14,2014
273,15,BPPO training,15,2014
274,15,Open SAP Mobile app dev Volunteering day 15th off 16th  17th  18th,16,2014
275,15,MCC Processes & Assign Mobile DR Customer 360 Reviews / Attend Critical Customer Calls (Sheila),17,2014
276,15,Assign Mobile DR Customer 360 Reviews / Attend Critical Customer Calls (Sheila),18,2014
277,15,Customer (Infrabel) mobile platform presentation research topics assigned ,19,2014
278,15,Off 1/2 day pm 13 May oData/UI5 Development EMEA EGI Fiori/UI5 Workshop (Self Study,20,2014
279,15,oData/UI5 Development EMEA EGI  Fiori/UI5 Workshop (Self Study ) Off FRI,21,2014
280,15,Hana Training,22,2014
281,15,HANA Practical/Exam,23,2014
282,15,RP & RDS for Mob/UX,24,2014
283,15,NA,25,2014
284,15,INNOJAM 26th & 27th,26,2014
285,15,Coffee Corner thurs 3rd 11am,27,2014
286,15,NA,28,2014
287,15,NA,29,2014
288,15,NA,30,2014
289,15,Last Week,31,2014
290,16,Induction Week,15,2014
291,16,SAPTEC,16,2014
292,16,UADM315,17,2014
293,16,NA,18,2014
294,16,EW coached del GLS 73258667,19,2014
295,16,MAY 16th network event 1,20,2014
296,16,NA,21,2014
297,16,NA,22,2014
298,16,ABAP Silver Cert,23,2014
299,16,TPO TRG,24,2014
300,16,NA,25,2014
301,16,INNOJAM 26th & 27th,26,2014
302,17,Induction Week,15,2014
303,17,SAPTEC,16,2014
304,17,UADM315,17,2014
305,17,NA,18,2014
306,17,ALM roadmap workshop,19,2014
307,17,MAY 16th network event 1,20,2014
308,17,NA,21,2014
309,17,NA,22,2014
310,17,ABAP Silver Cert,23,2014
311,17,Solman Config,24,2014
312,17,NA,25,2014
313,17,INNOJAM 26th & 27th,26,2014
314,18,Induction Week,15,2014
315,18,SAPTEC,16,2014
316,18,UADM315,17,2014
317,18,NA,18,2014
318,18,EW coached del GLS 73259216,19,2014
319,18,MAY 16th network event 1 - Wed 14th 1/2 day,20,2014
320,18,Sick 21st 22nd,21,2014
321,18,NA,22,2014
322,18,ABAP Silver Cert,23,2014
323,18,BPPO TRG,24,2014
324,18,NA,25,2014
325,18,INNOJAM 26th & 27th,26,2014
326,19,Induction Week,15,2014
327,19,SAPTEC,16,2014
328,19,UADM315,17,2014
329,19,NA,18,2014
330,19,EW coached del GLS 73259216,19,2014
331,19,MAY 16th network event 1,20,2014
332,19,SAPTEC exam Wed 21 1pm,21,2014
333,19,NA,22,2014
334,19,ABAP Silver Cert,23,2014
335,19,BPPO TRG,24,2014
336,19,NA,25,2014
337,19,INNOJAM 26th & 27th,26,2014
338,20,Induction Week,15,2014
339,20,SAPTEC,16,2014
340,20,UADM315,17,2014
341,20,Coached EW Delivery,18,2014
342,20,EW coached del GLS 73259363,19,2014
343,20,Revision SAPTEC & UADM315 exams MAY 16th network event 1,20,2014
344,20,Oracle Workshop,21,2014
345,20,ABAP Fundamentals,22,2014
346,20,ABAP Silver Cert,23,2014
347,20,BPPO TRG,24,2014
348,20,BPPO Coached Delivery - Bilim Liac Sanayii,25,2014
349,20,BPPO Coached delivery - Bilim Liac Sanayii ,26,2014
350,21,Induction Week,15,2014
351,21,SAPTEC,16,2014
352,21,UADM315,17,2014
353,21,NA,18,2014
354,21,EW coached del GLS 73259363,19,2014
355,21,MAY 16th network event 1,20,2014
356,21,NA,21,2014
357,21,NA,22,2014
358,21,ABAP Silver Cert,23,2014
359,21,TBC EP/PI,24,2014
360,21,NA,25,2014
361,21,INNOJAM 26th & 27th,26,2014
362,22,Induction Week,15,2014
363,22,SAPTEC,16,2014
364,22,UADM315,17,2014
365,22,NA,18,2014
366,22,EW coached del GLS 73261369,19,2014
367,22,MAY 16th network event 1,20,2014
368,22,NA,21,2014
369,22,NA,22,2014
370,22,ABAP Silver Cert,23,2014
371,22,BPPO TRG,24,2014
372,22,NA,25,2014
373,22,INNOJAM 26th & 27th,26,2014
374,23,Induction Week,15,2014
375,23,SAPTEC,16,2014
376,23,UADM315,17,2014
377,23,Coached EW Delivery,18,2014
378,23,EW coached del GLS 73261369,19,2014
379,23,Revision SAPTEC & UADM315 exams MAY 16th network event 1,20,2014
